id,display name,username,weight
950486928784228352,,Punk9277,3.07
1499585375534206980,,beast_ico,1.97
1394175945532055554,,yueya_eth,2.36
1755899659040555009,,theunipcs,1.81
1467734865676312579,,xerocooleth,1.56
762205930171670528,,Alvin0617,1.46
1501997405755088900,,waleswoosh,1.37
223921570,,S4mmyEth,1.34
1441113712291581958,,0xWenMoon,1.27
141007481,,danielesesta,1.24
1365107025772875778,,ZKSgu,1.17
1428197508547629068,,iamyourchaos,1.13
1362967156825018369,,BroLeonAus,1.11
1416874867086045192,,VaderResearch,1.04
7808722,,anymose96,1.03
1242122729555292161,,Jtsong2,1.03
1460252469745782790,,Defi0xJeff,0.89
1858126931469996032,,HeyAnonai,0.87
1341662614313525248,,sandraaleow,0.83
1364886230656114692,,wenxue600,0.75
1567852914605182977,,WY_mask,0.87
1434775696048476162,,wang_xiaolou,0.73
1214757469785747457,,ripchillpill,0.66
1328686769508732929,,0xBeyondLee,0.66
1864452692221022210,,bankrbot,0.63
2469925958,,dtrain22k,0.62
40134343,,Tyler_Did_It,0.6
1852674305517342720,,aixbt_agent,0.58
55993379,,0xultra,0.56
261546419,,JosephJacks,0.55
236804287,,MacroCRG,0.57
1056304242812743680,,DreadBong0,0.53
1466288716348293120,,metaio102,0.53
1482640180855160832,,banditxbt,0.55
983780071608594433,,blockTVBee,0.52
1445222248902651906,,wanghebbf,0.49
1529700919238987776,,Smokey_titan,0.48
1385900937051475974,,charles48011843,0.47
922627285437513728,,softlipa1018,0.49
64359118,,ZF_lab,0.47
1299523632868110338,,0xPrismatic,0.46
25508067,,starzqeth,0.46
295218901,,VitalikButerin,0.46
1521321995795058689,,Ru7Longcrypto,0.45
2882819127,,templecrash,0.45
1481568237624393730,,eli5_defi,0.43
1512594021654401027,,the_smart_ape,0.43
896645563948691456,,Slappjakke,0.43
1429654676002131968,,CalmanBTC,0.42
1373788838250876928,,Flowslikeosmo,0.43
1539901494530809856,,one_snowball,0.42
1490949502261665792,,yuyue_chris,0.41
864011281,,KookCapitalLLC,0.42
3369243892,,farokh,0.39
4261863792,,off_thetarget,0.39
1891647168441876484,,VannaCharmer,0.39
1608336380555591680,,Airdrop_Guard,0.38
1448318145177919489,,0xCheeezzyyyy,0.38
61417559,,ErikVoorhees,0.39
1389597177887002627,,yb_effect,0.37
952006146268782592,,0xBiZzy,0.37
1262818098035462144,,imperooterxbt,0.36
1478404369879953408,,Metabape,0.36
1583859576793071616,,LeotheHorseman,0.35
1460167107203592193,,vvickym2,0.34
1442176296356696064,,0xNairolf,0.33
1674568302625009666,,katexbt,0.35
14101591,,econoar,0.31
1054149844384669696,,himgajria,0.32
210831184,,eeelistar,0.31
1456142714756468738,,Chilearmy123,0.3
841016244270706688,,tradinglord,0.29
153638621,,nikokampouris,0.29
3220205428,,tong0x,0.29
1580920578411839489,,DeFiMinty,0.28
1287576585353039872,,0xCygaar,0.28
1498530697,,brodydotai,0.33
174981490,,mrjasonchoi,0.27
11392102,,markjeffrey,0.27
1395727427935027201,,BCheque1,0.27
1600230048572792846,,sjdedic,0.27
1503259657892429828,,Rav_Hedda,0.27
1401718840535379970,,hellosuoha,0.27
14592709,,jbrukh,0.25
1516641037476761601,,quan_eth,0.26
3406202350,,sal_hotpot666,0.26
13949232,,ai,0.25
1351139954525696005,,beaniemaxi,0.25
1468707533670039560,,raidenkrn,0.24
1412347670245511183,,cutepandaweb3,0.23
1485245285924282369,,belizardd,0.23
1517008053614555137,,0xAbhiP,0.24
1830340867737178112,,shawmakesmagic,0.22
1482116616632602627,,kurorosage,0.22
969355945645039616,,emilyxlai,0.22
1816291840682803201,,ibuyrugs,0.21
81185431,,ilblackdragon,0.21
92839361,,zhuanfgghjnb,0.21
1470958472409792515,,a1lon9,0.21
